"measuredItemCPC","qty_unit","value_unit"
"21700.02","t","1000 $"
"21800","t","1000 $"
"21910.01","t","1000 $"
"21910.02","t","1000 $"
"21910.03","t","1000 $"
"21910.04","t","1000 $"
"21910.05","t","1000 $"
"21910.06","t","1000 $"
"21910.07","t","1000 $"
"21910.08","t","1000 $"
"21910.09","t","1000 $"
"21910.10","t","1000 $"
"21910.11","t","1000 $"
"21910.12","t","1000 $"
"21910.14","t","1000 $"
"21910.15","t","1000 $"
"21910.16","t","1000 $"
"21910.90","t","1000 $"
"21920","t","1000 $"
"21931","t","1000 $"
"21932.01","t","1000 $"
"21932.02","t","1000 $"
"22110.01","t","1000 $"
"22110.02","t","1000 $"
"22120","t","1000 $"
"22130.01","t","1000 $"
"22130.02","t","1000 $"
"22130.03","t","1000 $"
"22211","t","1000 $"
"22212","t","1000 $"
"22221.01","t","1000 $"
"22221.02","t","1000 $"
"22222.01","t","1000 $"
"22222.02","t","1000 $"
"22230.01","t","1000 $"
"22230.02","t","1000 $"
"22230.03","t","1000 $"
"22230.04","t","1000 $"
"22241.01","t","1000 $"
"22241.02","t","1000 $"
"22249.01","t","1000 $"
"22249.02","t","1000 $"
"22251.01","t","1000 $"
"22251.02","t","1000 $"
"22251.03","t","1000 $"
"22251.04","t","1000 $"
"22253","t","1000 $"
"22254","t","1000 $"
"22260","t","1000 $"
"22270","t","1000 $"
"22290","t","1000 $"
"23110","t","1000 $"
"23120.01","t","1000 $"
"23120.02","t","1000 $"
"23120.03","t","1000 $"
"23120.04","t","1000 $"
"23120.05","t","1000 $"
"23120.06","t","1000 $"
"23120.07","t","1000 $"
"23120.09","t","1000 $"
"23120.10","t","1000 $"
"23120.90","t","1000 $"
"23140.01","t","1000 $"
"23140.02","t","1000 $"
"23140.03","t","1000 $"
"23140.04","t","1000 $"
"23140.05","t","1000 $"
"23140.06","t","1000 $"
"23140.07","t","1000 $"
"23140.08","t","1000 $"
"23161.01","t","1000 $"
"23161.02","t","1000 $"
"23161.03","t","1000 $"
"23162","t","1000 $"
"23170.01","t","1000 $"
"23170.02","t","1000 $"
"23170.03","t","1000 $"
"23170.04","t","1000 $"
"23180","t","1000 $"
"23210.01","t","1000 $"
"23210.02","t","1000 $"
"23210.03","t","1000 $"
"23210.04","t","1000 $"
"23210.05","t","1000 $"
"23210.06","t","1000 $"
"23210.08","t","1000 $"
"23220.01","t","1000 $"
"23220.02","t","1000 $"
"23220.03","t","1000 $"
"23220.04","t","1000 $"
"23220.05","t","1000 $"
"23220.06","t","1000 $"
"23230.01","t","1000 $"
"23230.02","t","1000 $"
"23311","t","1000 $"
"23319.01","t","1000 $"
"23319.02","t","1000 $"
"23319.03","t","1000 $"
"23319.04","t","1000 $"
"23319.06","t","1000 $"
"23319.08","t","1000 $"
"23319.09","t","1000 $"
"23320","t","1000 $"
"23490.01","t","1000 $"
"23511.02","t","1000 $"
"2351f","t","1000 $"
"23520","t","1000 $"
"23530","t","1000 $"
"23540","t","1000 $"
"23610.01","t","1000 $"
"23620","t","1000 $"
"23670.01","t","1000 $"
"23670.02","t","1000 $"
"23710","t","1000 $"
"23911","t","1000 $"
"23912.01","t","1000 $"
"23912.02","t","1000 $"
"23914","t","1000 $"
"23991.01","t","1000 $"
"23991.02","t","1000 $"
"23991.03","t","1000 $"
"23991.04","t","1000 $"
"23993.01","t","1000 $"
"23993.02","t","1000 $"
"23993.03","t","1000 $"
"23995.01","t","1000 $"
"23995.02","t","1000 $"
"23995.03","t","1000 $"
"23999.01","t","1000 $"
"23999.02","t","1000 $"
"23999.04","t","1000 $"
"24110","t","1000 $"
"2413","t","1000 $"
"24212.01","t","1000 $"
"24212.02","t","1000 $"
"24220","t","1000 $"
"24230.01","t","1000 $"
"24230.02","t","1000 $"
"24230.03","t","1000 $"
"24310.01","t","1000 $"
"24310.03","t","1000 $"
"24320","t","1000 $"
"24490","t","1000 $"
"25020.01","t","1000 $"
"25020.02","t","1000 $"
"25090","t","1000 $"
"26110","t","1000 $"
"26130","t","1000 $"
"26150.01","t","1000 $"
"26150.02","t","1000 $"
"26160","t","1000 $"
"26190.01","t","1000 $"
"26190.02","t","1000 $"
"34120","t","1000 $"
"34550","t","1000 $"
"35410.01","t","1000 $"
"35410.90","t","1000 $"
"39110.01","t","1000 $"
"39120.01","t","1000 $"
"39120.02","t","1000 $"
"39120.03","t","1000 $"
"39120.04","t","1000 $"
"39120.05","t","1000 $"
"39120.06","t","1000 $"
"39120.07","t","1000 $"
"39120.08","t","1000 $"
"39120.12","t","1000 $"
"39120.13","t","1000 $"
"39120.14","t","1000 $"
"39120.15","t","1000 $"
"39120.91","t","1000 $"
"39130.03","t","1000 $"
"39130.04","t","1000 $"
"39140.01","t","1000 $"
"39140.02","t","1000 $"
"39150.01","t","1000 $"
"39150.02","t","1000 $"
"39160","t","1000 $"
"39170.01","t","1000 $"
"39170.02","t","1000 $"
"39211","t","1000 $"
"39213","t","1000 $"
"F0020","t","1000 $"
"F0022","t","1000 $"
"F0235","t","1000 $"
"F0262","t","1000 $"
"F0472","t","1000 $"
"F0473","t","1000 $"
"F0475","t","1000 $"
"F0623","t","1000 $"
"F0665","t","1000 $"
"F0666","t","1000 $"
"F0769","t","1000 $"
"F0875","t","1000 $"
"F0994","t","1000 $"
"F1009","t","1000 $"
"F1042","t","1000 $"
"F1061","t","1000 $"
"F1172","t","1000 $"
"F1217","t","1000 $"
"F1223","t","1000 $"
"F1232","t","1000 $"
"F1243","t","1000 $"
"F1275","t","1000 $"
"F1293",NA,"1000 $"
"F1294","t","1000 $"
